name;min_lat;min_lon;max_lat;max_lon;population_amount;Very Small;Small;Medium;Large
Amsterdam;112311;477496;128604;492626;905234;57;10;2;546
Den Haag;76999;446774;84974;458072;552995;21;0;2;267
Rotterdam;88814;431417;97773;442626;656050;36;2;3;309
Den Bosch;146257;410077;152049;415686;154220;1;1;0;72
Maastricht;172676;315059;179403;322240;120837;5;1;0;84
Utrecht;132278;451996;140449;462244;361924;26;5;0;183
Lelystad;157808;499557;164522;506585;81208;0;0;0;34
Leeuwarden;179685;576816;185967;581794;125542;1;0;0;44
Groningen;229359;577257;237633;586097;234649;3;2;0;98
Zwolle;199667;499536;205252;506594;130872;5;0;0;59
Enschede;254166;467374;260419;474720;160383;0;0;1;60
Assen;230846;553909;237069;561182;69042;0;0;3;25
Arnhem;188225;439143;196152;447537;164096;3;1;1;97
Middelburg;30083;389300;34077;393602;49214;0;0;0;23
Haarlem;100960;483794;106678;493082;162914;1;0;0;88
Zürich;1241815;2676523;1253990;2689396;421878;144;56;359;47
Geneva;1115283;2497662;1120815;2502617;203856;25;28;139;9
Basel;1263212;2608737;1270978;2614601;178120;11;23;143;12
Lausanne;1150705;2534529;1161331;2544556;140202;25;29;127;7
Bern;1197097;2589659;1203863;2604205;134794;12;17;135;27
Winterthur;1257301;2692047;1266445;2703047;114220;5;7;67;13
Lucerne;1209078;2658310;1215117;2669801;82620;9;21;50;1
St. Gallen;1251761;2740122;1257179;2750367;76213;3;8;50;9
Lugano;1089487;2714514;1106994;2725868;62315;2;5;77;6
Biel/Bienne;1219372;2581810;1224765;2590090;55206;6;2;47;4
Thun;1173362;2611309;1179920;2619059;43476;1;1;21;13
Bellinzona;1115536;2717098;1120469;2726567;43360;0;3;12;1
Köniz;1190622;2591779;1197775;2601946;42388;1;2;22;5
Fribourg;1181817;2576883;1185540;2580494;38039;0;3;24;0
Schaffhausen;1282467;2686049;1288895;2694827;36952;0;6;31;5
